City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
297,Horta,PT,58.3,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
300,Kavieng,PG,79.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
304,Port Macquarie,AU,67.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
305,Tuatapere,NZ,58.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
310,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
312,Rodeo,US,60.51,clear sky,38.033,-122.2669,Captain's Cottage
313,Benito Juarez,MX,66.0,clear sky,19.385,-99.165,Hotel Novit
314,Quang Ngai,VN,73.2,overcast clouds,15.1167,108.8,Central Hotel
315,Guerrero Negro,MX,61.43,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
319,Haimen,CN,51.69,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
320,Faya,SA,51.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
321,Kindu,CD,69.35,overcast clouds,-2.95,25.95,Résidence Okanda
322,Panaba,MX,74.48,clear sky,21.2833,-88.2667,Hotel California
327,Bodden Town,KY,78.01,few clouds,19.2833,-81.25,Will T Place
330,Tual,ID,82.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
332,Inirida,CO,76.37,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
339,Orel-Izumrud,RU,51.82,overcast clouds,43.4583,39.9244,Strana Magnoliy
341,Mecca,SA,68.22,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
342,Stawell,AU,67.44,clear sky,-37.05,142.7667,Motel Stawell
345,Am Timan,TD,70.48,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
346,Imperia,IT,55.42,broken clouds,43.9667,7.7833,La Stregatta
347,Karratha,AU,88.56,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
348,Arlit,NE,58.98,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
351,Araci,BR,74.28,few clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
354,La Asuncion,VE,87.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
355,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
356,Jibuti,DJ,71.02,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
358,Saint-Pierre,RE,78.48,light rain,-21.3393,55.4781,Lindsey Hôtel
359,Nouadhibou,MR,67.19,clear sky,20.931,-17.0347,El Medina
360,Kirakira,SB,82.96,moderate rain,-10.4544,161.9205,SanBiz Lodge
361,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
362,Ginir,ET,56.88,overcast clouds,7.1333,40.7,Sura Dare Village
363,Tondi,IN,74.16,clear sky,9.7333,79.0167,Star Lodge
366,Igboho,NG,70.43,overcast clouds,8.8333,3.75,More Hotet LTD
368,Sao Joao Da Barra,BR,74.21,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
369,Constitucion,CL,57.76,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
372,Beira,MZ,73.99,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
374,Dwarka,IN,70.79,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
376,Bengkulu,ID,81.84,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
378,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
381,Pacific Grove,US,57.65,clear sky,36.6177,-121.9166,Lovers Point Inn
383,Cooma,AU,60.57,broken clouds,-36.2333,149.1333,High Country Motel
386,Chimbote,PE,70.41,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
387,Samarai,PG,84.83,light rain,-10.6167,150.6667,Nuli Sapi
388,Fortuna,US,50.47,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
391,Bonthe,SL,75.85,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
395,Watsonville,US,58.14,clear sky,36.9102,-121.7569,"Holiday Inn Express & Suites Watsonville, an IHG Hotel"
396,Koboko,UG,68.79,overcast clouds,3.4136,30.9599,Hotel Diplomat
397,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
398,Lompoc,US,57.51,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
399,Asyut,EG,53.94,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
400,Atar,MR,70.47,clear sky,20.5169,-13.0499,Oumou Elghoura
403,Zhuhai,CN,56.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
404,Utete,TZ,72.93,overcast clouds,-7.986,38.758,River View Lodge
407,Itarema,BR,79.07,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
409,San Ramon,US,58.3,clear sky,37.7799,-121.978,San Ramon Marriott
414,Kerema,PG,85.17,overcast clouds,-7.9631,145.7785,Frena Lodge
416,Honiara,SB,81.73,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
417,Surgana,IN,59.88,scattered clouds,20.5667,73.6167,Taj Hotel
418,Dondo,MZ,71.37,few clouds,-19.6094,34.7431,Arco Iris
419,Barinas,VE,84.24,clear sky,8.6226,-70.2075,Hotel Mastranto Suite
421,Catamarca,AR,76.05,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
422,Tete,MZ,72.32,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
423,Whyalla,AU,69.69,scattered clouds,-33.0333,137.5833,Foreshore Motor Inn
424,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
425,Praia Da Vitoria,PT,55.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
427,Havelock,US,53.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
429,Hargeysa,SO,57.83,broken clouds,9.56,44.065,City Center Hotel
